Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,BND,SPY,TSLA,BND,SPY,TSLA,BND,SPY,TSLA,BND,SPY,TSLA,BND,SPY,TSLA
Date,,,,,,,,,,,,,,,
2020-01-02,71.55587768554688,299.4064636230469,28.68400001525879,71.6751795678394,299.4249140098017,28.713333129882812,71.52179050468258,297.24987779194856,28.11400032043457,71.5644011061292,298.18072230420165,28.299999237060547,5511000,59151200,142981500
2020-01-03,71.8115463256836,297.13922119140625,29.534000396728516,71.82859317267263,298.27282282405736,30.266666412353516,71.66668063361284,295.93190240507255,29.128000259399414,71.73485501863456,295.9871973017303,29.366666793823242,5368300,77709700,266677500
2020-01-06,71.72630310058594,298.2728271484375,30.1026668548584,71.84560497624554,298.3557694946267,30.104000091552734,71.67517558286457,295.24988941754117,29.333332061767578,71.83708805760172,295.36970440389786,29.364667892456055,3710400,55653900,151995000
2020-01-07,71.66665649414062,297.4341735839844,31.270666122436523,71.75187119598132,298.180682883535,31.441999435424805,71.64109273373492,296.98256105203933,30.224000930786133,71.75187119598132,297.7014229007024,30.760000228881836,3029900,40496400,268231500
2020-01-08,71.55587768554688,299.01934814453125,32.80933380126953,71.75187084868531,300.24508925384606,33.232666015625,71.49622674440062,297.37886716238296,31.215333938598633,71.69221990753906,297.6276942107322,31.579999923706055,3674400,68296000,467164500
2020-01-09,71.6411361694336,301.04693603515625,32.089332580566406,71.66669994533851,301.1206813288284,33.253334045410156,71.46218323663028,300.00550173534947,31.524667739868164,71.50479386411777,300.5953515823719,33.13999938964844,5886600,48473300,426606000
2020-01-10,71.76042175292969,300.1805725097656,31.876667022705078,71.78598552300238,301.79340606008225,32.3293342590332,71.66668359501818,299.7105658576426,31.579999923706055,71.71781763663103,301.6367465512363,32.11933135986328,4525700,53029300,194392500
2020-01-13,71.7177963256836,302.2450256347656,34.990665435791016,71.73483666684602,302.25422270129854,35.04199981689453,71.66666229926523,300.37413979775033,32.79999923706055,71.73483666684602,300.80730194354135,32.900001525878906,3735700,47086800,397764000
2020-01-14,71.820068359375,301.7842102050781,35.861331939697266,71.82859178270458,302.86248888986165,36.49399948120117,71.73485363048046,301.2220078828355,34.99333190917969,71.75189397567253,301.80263246337364,36.284000396728516,3492300,62832800,434943000
2020-01-15,71.93087005615234,302.4661865234375,34.56666564941406,71.93087005615234,303.2311180311353,35.85599899291992,71.84564880600763,301.60908747701393,34.452667236328125,71.92234663084416,301.69202982419193,35.31733322143555,2594300,72056600,260532000
2020-01-16,71.88822174072266,304.9822692871094,34.232666015625,71.94787268366835,304.9822692871094,34.297332763671875,71.84561113799067,303.62748779927784,32.81133270263672,71.8967451615621,303.8578926228846,32.91666793823242,4784100,54050300,326050500
2020-01-17,71.87971496582031,305.93157958984375,34.03333282470703,71.8882383886336,306.14353405736045,34.37799835205078,71.79450024208742,304.91779259652645,33.54399871826172,71.81154058624733,305.7011747334349,33.840667724609375,3090600,95846000,204436500
2020-01-21,72.05865478515625,305.3324890136719,36.47999954223633,72.08421854749945,306.14351856728973,36.571998596191406,71.9393528932443,304.8901297121286,35.227333068847656,71.99900383920028,304.9638468871887,35.349998474121094,2910600,77742400,267052500
2020-01-22,72.11831665039062,305.3692321777344,37.97066879272461,72.11831665039062,306.8530533740504,39.633331298828125,72.05866569540304,305.2125727000635,37.27333450317383,72.08422946161679,306.19868364200556,38.125999450683594,4192100,48914900,470535000
2020-01-23,72.24616241455078,305.7195129394531,38.14666748046875,72.28877303793523,306.1342528171938,38.79999923706055,72.1950348676641,303.59057490163264,37.040000915527344,72.24616241455078,304.7149514167851,37.616668701171875,3104800,51963000,294765000
2020-01-24,72.35693359375,303.0007629394531,37.654666900634766,72.43362489940988,306.4660604596498,38.25733184814453,72.26319544140986,301.70127636937934,36.95066833496094,72.28875920996316,306.38311809886915,38.04199981689453,4548400,87578400,215304000
2020-01-27,72.59554290771484,298.1438293457031,37.201332092285156,72.60405983022989,299.63684804047784,37.62933349609375,72.51884509480648,297.36967254565656,35.95199966430664,72.57849605974961,297.71066717031647,36.132667541503906,3208600,84062500,204121500
2020-01-28,72.46772003173828,301.26800537109375,37.793331146240234,72.55293477007544,302.15275160953644,38.45399856567383,72.41659248902954,298.2358714191024,37.2053337097168,72.5444113458014,299.5814270917138,37.89933395385742,3993400,63834000,176827500
